aX,aY,aZ,gX,gY,gZ
0.95,0.131,-0.013,-1.648,6.409,-3.418
0.946,0.144,-0.015,2.38,4.395,-2.441
0.963,0.164,-0.008,3.845,2.075,-2.136
0.971,0.157,0.004,4.028,0.732,-3.54
0.968,0.142,0.015,3.418,1.587,-4.761
0.968,0.134,-0.001,2.136,3.296,-3.845
0.968,0.133,-0.02,0.977,3.601,-2.136
0.972,0.13,-0.01,-0.854,0.977,-0.488
0.976,0.132,0.005,-1.587,-1.16,1.099
0.978,0.129,0.009,-1.282,-1.526,1.953
0.977,0.128,-0.008,-0.061,-1.526,2.014
0.981,0.131,-0.025,0.488,-1.77,1.709
0.975,0.123,-0.012,0.305,-2.441,1.099
0.973,0.121,0.01,0,-2.808,0.977
0.983,0.12,0.015,-0.061,-1.953,1.221
0.992,0.129,0.007,-0.793,-0.488,1.648
0.998,0.139,0.001,-1.16,-0.122,2.197
0.995,0.142,0.007,-0.671,-0.488,2.136
0.994,0.131,0.016,-0.061,-0.549,1.648
0.998,0.129,0.018,-0.183,-0.122,1.343
1.005,0.136,0.023,-0.061,-0.427,1.404
1.008,0.14,0.032,0.488,-0.793,0.916
1.004,0.114,0.029,1.648,-0.732,0.244
0.998,0.131,0.02,-5.615,1.221,0
0.98,0.102,0.004,-2.136,2.258,-0.916
0.973,0.115,0,1.892,0.549,2.319
0.982,0.131,0.004,1.282,-1.038,4.822
0.978,0.139,0.003,-0.122,-0.366,5.066
0.968,0.145,-0.005,-0.793,0.61,5.432
0.966,0.154,-0.012,-0.793,0.427,5.798
0.965,0.158,-0.003,-0.549,-0.61,5.493
0.972,0.163,0.012,0.305,-1.465,4.578
0.981,0.167,0.028,0.366,-1.526,3.54
0.972,0.154,0.025,1.526,-0.61,1.892
0.96,0.153,0.018,2.808,-0.366,1.099
0.958,0.149,0.014,3.967,-0.732,0.671
,,,,,
2.368,0.149,0.409,-44.922,-104.431,38.33
2.524,0.033,0.409,-41.016,-94.849,33.691
2.656,0.017,0.269,-31.982,-74.219,31.25
2.781,0.029,0.173,-26.611,-52.734,30.273
2.857,0.09,0.136,-25.818,-32.227,31.921
2.91,0.177,0.209,-26.428,-15.076,32.593
2.843,0.26,0.411,-26.062,-3.601,27.161
2.597,0.302,0.567,-24.597,6.348,15.503
2.326,0.269,0.56,-24.414,16.357,0.427
1.902,0.199,0.563,-15.686,17.517,-16.296
1.465,0.05,0.561,-2.502,16.968,-35.889
1.065,-0.084,0.407,6.287,28.503,-48.401
0.761,-0.109,0.163,10.742,41.321,-46.936
0.539,-0.114,0.001,12.756,44.006,-39.429
0.436,-0.088,-0.076,11.108,39.978,-28.198
0.38,-0.018,-0.116,5.371,35.156,-16.724
0.361,0.068,-0.174,-0.549,28.32,-6.775
0.396,0.114,-0.18,-4.578,17.639,-2.441
0.418,0.141,-0.134,-8.362,5.676,-1.648
0.445,0.118,-0.077,-10.498,-2.441,-2.93
0.497,0.091,-0.059,-11.536,-7.019,-4.272
0.593,0.111,-0.035,-11.658,-12.512,-5.249
0.626,-0.006,0.104,-9.644,-19.836,-9.094
0.681,-0.059,0.129,-9.705,-15.259,-7.08
0.773,-0.075,0.097,-9.399,-8.362,-0.916
0.894,-0.05,0.104,-9.216,-7.202,6.897
1.01,-0.018,0.116,-8.362,-6.714,13.184
1.105,-0.001,0.118,-7.69,-5.31,16.113
1.183,0.019,0.112,-6.165,-5.493,16.541
1.241,0.034,0.117,-4.517,-6.958,14.587
1.266,0.041,0.139,-3.052,-7.935,11.475
1.283,0.043,0.182,-1.282,-7.08,8.057
1.264,0.041,0.182,-0.61,-3.235,5.005
1.126,-0.035,0.207,-1.038,0.793,2.686
1.117,-0.044,0.125,-3.662,8.118,6.836
1.099,0.07,0.16,-2.991,6.531,13.855
1.07,0.059,0.208,1.221,1.587,8.545
1.024,0.064,0.139,3.052,6.104,3.052
0.97,0.06,0.118,5.432,5.737,-0.244
0.927,0.052,0.136,7.507,2.319,-1.709
0.906,0.063,0.135,8.789,1.709,-1.282
0.878,0.047,0.105,9.033,3.418,-0.549
0.85,0.051,0.079,7.141,3.54,0.488
0.846,0.068,0.063,6.653,0.549,2.014
0.856,0.073,0.058,7.751,-1.404,2.869
0.858,0.082,0.052,8.179,-1.526,3.967
0.892,0.093,0.037,9.277,-0.732,5.005
0.946,0.129,0.036,9.583,-0.488,5.432
0.985,0.154,0.039,8.789,-1.16,3.601
1.001,0.157,0.016,8.179,-1.099,0.854
1.009,0.145,0.019,7.141,-2.014,-1.282
1.015,0.134,0.054,6.348,-3.662,-2.075
1.018,0.115,0.09,6.165,-3.906,-2.319
1.024,0.106,0.089,6.042,-2.441,-2.136
1.021,0.093,0.078,5.493,-0.366,-1.526
1.013,0.082,0.07,4.089,0.977,-0.61
1,0.087,0.061,2.075,1.526,1.709
0.998,0.083,0.078,0.671,1.282,3.662
0.994,0.086,0.093,0.61,2.258,4.761
0.989,0.089,0.084,0.366,4.822,5.737
0.979,0.082,0.079,1.038,7.385,6.47
1.026,0.122,0.055,1.953,8.24,6.714
1.026,0.138,0.074,4.272,6.104,3.906
1.016,0.12,0.066,5.859,5.859,-1.709
0.986,0.085,0.037,7.568,5.92,-4.944
0.959,0.064,0.031,7.385,3.235,-6.287
0.944,0.038,0.052,6.409,-0.122,-5.798
0.938,0.02,0.078,5.371,-0.366,-4.089
0.949,0.018,0.093,4.089,1.953,-1.648
0.969,0.022,0.091,2.136,3.906,0.916
0.984,0.039,0.097,0.854,4.089,3.418
0.99,0.053,0.107,0.854,4.517,4.456
0.981,0.041,0.102,1.16,5.676,4.028
0.976,0.053,0.088,1.16,5.493,4.456
0.974,0.066,0.077,2.014,4.456,5.005
0.976,0.077,0.065,2.625,4.211,4.517
0.969,0.073,0.049,2.441,4.211,4.211
