aX,aY,aZ,gX,gY,gZ
1.332,-0.339,0.53,-19.348,11.108,34.729
1.337,-0.445,0.382,-15.137,23.804,29.907
1.318,-0.48,0.191,-3.296,30.09,23.682
1.224,-0.405,0.085,7.263,26.672,21.362
1.098,-0.223,0.033,12.085,18.677,21.484
0.921,-0.182,0.074,13.306,13.123,16.846
0.873,-0.204,0.057,10.62,11.719,13.428
0.907,-0.308,0.062,12.512,11.78,12.085
0.971,-0.401,0.129,8.423,11.597,9.949
1.04,-0.456,0.146,0.854,15.442,8.179
1.026,-0.479,0.114,-0.366,22.949,7.08
1.019,-0.396,0.101,-5.432,27.1,8.24
0.864,-0.279,0.109,-11.475,26.733,7.812
0.85,-0.215,0.094,-17.822,21.729,7.507
0.886,-0.29,0.072,-21.301,12.207,7.751
0.951,-0.428,0.077,-30.579,1.16,11.536
1.027,-0.476,0.098,-37.903,-5.798,14.648
1.043,-0.391,0.186,-34.729,-7.996,16.907
1.031,-0.328,0.219,-31.189,-1.587,11.719
0.981,-0.303,0.166,-26.855,8.85,3.662
0.948,-0.294,0.072,-22.4,16.479,-1.099
0.973,-0.341,-0.017,-23.01,16.602,-1.404
0.991,-0.359,-0.057,-26.978,10.315,2.991
1.025,-0.331,-0.07,-28.076,3.906,7.996
1.05,-0.317,-0.05,-26.184,2.258,8.362
0.997,-0.271,-0.031,-21.729,3.418,7.629
0.967,-0.228,-0.04,-18.311,4.333,5.066
0.929,-0.192,-0.059,-15.808,3.479,1.648
0.927,-0.178,-0.08,-14.954,2.075,-2.258
0.935,-0.168,-0.1,-13.733,2.625,-5.005
0.97,-0.172,-0.136,-12.817,4.333,-8.301
1.018,-0.22,-0.177,-12.573,6.47,-11.108
1.079,-0.291,-0.212,-12.573,5.554,-10.559
1.081,-0.299,-0.195,-12.268,0.671,-5.432
1.063,-0.22,-0.169,-11.292,-2.258,-0.305
1.046,-0.174,-0.132,-8.789,-1.892,0.183
1.014,-0.13,-0.129,-6.165,0.793,-1.526
0.974,-0.116,-0.117,-4.089,2.625,-2.686
0.942,-0.103,-0.116,-2.502,4.639,-3.723
0.929,-0.119,-0.137,-1.343,5.981,-4.639
0.932,-0.166,-0.153,-0.916,5.066,-5.249
0.951,-0.183,-0.159,-2.075,1.587,-3.296
0.967,-0.205,-0.131,-4.578,-1.343,-1.465
0.963,-0.187,-0.105,-4.395,-1.16,-0.977
0.956,-0.142,-0.084,-2.808,1.343,-1.892
0.955,-0.129,-0.077,-2.502,3.235,-3.662
0.965,-0.151,-0.075,-3.601,4.578,-4.578
0.99,-0.175,-0.094,-5.737,6.287,-4.456
0.996,-0.183,-0.123,-6.226,8.118,-4.456
0.989,-0.186,-0.123,-5.31,8.118,-4.089
0.959,-0.144,-0.115,-5.005,6.897,-2.869
0.967,-0.146,-0.127,-5.31,6.226,-2.747
0.968,-0.18,-0.137,-4.456,6.47,-4.822
0.979,-0.192,-0.159,-2.075,6.714,-7.019
0.996,-0.214,-0.154,-0.366,5.615,-7.446
1.002,-0.227,-0.138,-0.061,3.479,-5.554
0.999,-0.212,-0.136,0.854,2.747,-3.784
0.984,-0.193,-0.141,2.136,2.319,-2.93
0.962,-0.188,-0.136,3.174,1.221,-2.258
0.956,-0.166,-0.111,2.441,-1.16,-0.427
0.967,-0.149,-0.075,1.16,-3.479,1.221
0.987,-0.137,-0.046,-0.549,-4.333,1.038
1.011,-0.172,-0.041,-2.502,-2.808,-0.671
1.014,-0.192,-0.051,-2.991,-1.099,-1.282
0.997,-0.172,-0.071,-1.709,0.488,-0.732
0.985,-0.166,-0.067,-0.671,0.977,-0.854
0.988,-0.177,-0.079,-1.282,0.854,-0.427
0.984,-0.175,-0.087,-1.831,0.366,0
0.976,-0.164,-0.095,-1.77,0.916,-0.671
0.966,-0.177,-0.103,-1.404,1.587,-1.465
0.947,-0.172,-0.113,-1.404,1.221,-1.16
0.934,-0.17,-0.119,-1.587,-0.305,-1.099
0.937,-0.191,-0.12,-1.648,-1.953,-1.038
0.957,-0.2,-0.121,-1.831,-2.991,-0.488
0.971,-0.193,-0.114,-1.648,-3.723,-0.305
0.988,-0.187,-0.115,-1.648,-2.502,-1.099
0.995,-0.191,-0.135,-0.549,-0.244,-2.319
0.989,-0.197,-0.146,0.549,1.465,-2.747
0.974,-0.188,-0.141,1.099,1.77,-2.625
0.965,-0.168,-0.129,1.648,2.38,-2.686
0.953,-0.166,-0.119,1.343,4.456,-3.723
0.948,-0.191,-0.137,0.977,6.531,-4.517
0.938,-0.22,-0.164,-0.122,6.042,-3.479
0.924,-0.218,-0.169,-1.343,2.441,-0.854
0.935,-0.206,-0.14,-1.953,-2.075,1.282
0.948,-0.191,-0.111,-1.648,-3.906,1.16
0.944,-0.177,-0.1,0.061,-2.625,-0.61
0.944,-0.173,-0.103,1.16,-0.977,-1.587
0.946,-0.177,-0.101,1.038,-0.366,-1.526
0.939,-0.178,-0.094,0.732,-0.793,-1.282
0.951,-0.175,-0.083,0.732,-0.916,-1.709
0.963,-0.166,-0.07,0.488,-0.488,-1.953
0.97,-0.17,-0.077,-0.122,0.977,-2.441
0.97,-0.186,-0.086,-0.366,1.343,-2.441
0.962,-0.179,-0.096,-0.488,1.099,-1.77
0.967,-0.175,-0.098,-1.099,0.549,-1.892
0.976,-0.182,-0.105,-1.282,1.099,-2.625
0.991,-0.202,-0.111,-1.892,1.404,-2.869
0.998,-0.224,-0.119,-1.648,1.465,-2.747
1.011,-0.245,-0.131,-0.732,0.61,-2.441
1.009,-0.231,-0.135,0.549,-0.244,-1.221
1.014,-0.218,-0.124,1.709,-0.488,-0.549
1.001,-0.207,-0.1,1.16,-0.244,-0.793
0.973,-0.179,-0.105,0.916,0.854,-0.671
0.946,-0.161,-0.099,0.671,1.465,-1.709
0.943,-0.173,-0.098,-0.244,1.465,-2.563
0.943,-0.184,-0.103,-0.854,1.709,-2.563
0.95,-0.198,-0.118,-0.916,1.648,-2.93
0.957,-0.21,-0.132,-0.793,0.916,-3.235
0.96,-0.206,-0.139,-0.671,-0.366,-2.258
0.96,-0.198,-0.128,-1.526,-2.38,-0.977
0.962,-0.189,-0.109,-1.648,-4.456,0
0.965,-0.181,-0.088,-0.854,-5.188,0
,,,,,
1.118,-0.729,0.896,-95.276,-43.274,21.912
1.437,-0.725,0.788,-93.933,-36.804,-3.052
1.424,-0.864,0.698,-80.017,-25.879,-45.166
1.251,-0.884,0.49,-71.533,-25.696,-70.374
0.828,-0.832,0.349,-61.523,-28.809,-68.359
0.555,-0.683,0.301,-55.054,-27.222,-49.438
0.463,-0.504,0.314,-51.575,-22.766,-24.963
0.497,-0.29,0.352,-44.128,-19.348,-0.916
0.542,-0.072,0.293,-39.795,-16.113,11.902
0.632,0.111,0.347,-42.969,-18.738,12.512
0.745,0.047,0.409,-43.091,-21.545,2.625
0.86,-0.178,0.44,-43.884,-19.897,-7.69
0.956,-0.443,0.513,-48.157,-14.587,-12.268
0.999,-0.65,0.549,-51.575,-15.442,-13.977
1.022,-0.806,0.566,-47.791,-17.151,-15.259
1.001,-0.892,0.53,-30.64,-8.24,-13.977
0.928,-0.918,0.482,-9.399,5.981,-8.301
0.803,-0.818,0.309,2.563,9.644,0.549
0.7,-0.506,0.255,1.465,0.183,6.836
0.66,-0.303,0.208,1.526,-10.132,5.249
0.627,-0.226,0.115,2.258,-17.09,3.357
0.636,-0.215,0.129,-6.287,-22.4,3.418
0.65,-0.343,0.205,-20.569,-28.809,1.099
0.687,-0.575,0.297,-25.208,-32.227,-1.465
0.731,-0.77,0.355,-22.461,-31.128,2.075
0.803,-0.823,0.323,-14.221,-33.203,13.672
0.82,-0.715,0.28,-1.953,-39.795,24.963
0.858,-0.572,0.266,14.221,-40.894,28.931
0.921,-0.493,0.205,23.743,-36.499,30.029
0.997,-0.456,0.21,21.545,-32.654,27.466
1.035,-0.533,0.224,14.343,-30.396,20.02
1.073,-0.615,0.176,8.667,-30.823,16.968
1.105,-0.542,0.118,5.737,-30.212,22.888
1.077,-0.384,0.062,5.554,-26.001,27.527
1.004,-0.269,0.066,7.446,-21.484,21.24
0.945,-0.26,0.036,14.954,-19.47,8.118
